r --- a
0.000211311970004 --- 5.64144999041
0.551520279865 --- 0.39671777918
0.401343699266 --- 0.608624742253
0.383553561933 --- 0.638850667913
0.384715410129 --- 0.636834275003
0.911898030858 --- 0.0614847356187
0.270204637791 --- 0.872383792876
0.329347355445 --- 0.740428195699
0.341002957589 --- 0.717242752304
0.236708190402 --- 0.960618107067
0.354556092226 --- 0.691259144265
0.0242420458348 --- 2.47977781481
0.436064345034 --- 0.553310310779
0.933446984241 --- 0.04591407338
0.443464146202 --- 0.542092215558
0.301905220049 --- 0.798428101174
0.121033370086 --- 1.40779265705
0.207851027701 --- 1.04728911257
0.352222570382 --- 0.695661333987
0.804740413001 --- 0.144823681259
0.272121310361 --- 0.867671545426
0.542863233733 --- 0.407265241567
0.902369357134 --- 0.0684875705941
0.121785357651 --- 1.40366343151
0.846506043731 --- 0.111091958509
0.227076994827 --- 0.988310756502
0.483052050454 --- 0.485087244147
0.655811982069 --- 0.281254095879
0.231982634976 --- 0.974061839571
0.932146050004 --- 0.0468438470403
0.578662423221 --- 0.3646906704
0.579347071508 --- 0.363902365561
0.0862308289326 --- 1.63381834735
0.281541870107 --- 0.844982735457
0.874210883805 --- 0.0896224310757
0.862324105512 --- 0.0987493910087
0.0812413329637 --- 1.67355408979
0.423083120688 --- 0.573457744287
0.758009409419 --- 0.184706319957
0.864144109592 --- 0.0973438203849
0.670049911211 --- 0.266935383351
0.528857727781 --- 0.424690552593
0.51183082094 --- 0.446507424265
0.340607544566 --- 0.718016240126
0.591001518346 --- 0.350624461644
0.962518839614 --- 0.0254677595914
0.0541373887351 --- 1.94415348511
0.887092471536 --- 0.0798707000621
0.363169102633 --- 0.675257803811
0.783107952579 --- 0.162989814682
0.695359002657 --- 0.242218010799
0.898757655126 --- 0.0711612349715
0.419909709329 --- 0.578477045736
0.422484688192 --- 0.574401382538
0.700154441269 --- 0.23763622526
0.495694411218 --- 0.467863765696
0.13596934133 --- 1.33021723337
0.23671973694 --- 0.960585588109
0.548618744383 --- 0.400234355596
0.635236843785 --- 0.302504911528
0.425633493078 --- 0.569451098606
0.62211815809 --- 0.316416826339
0.93988301835 --- 0.0413332400174
0.613889411378 --- 0.325293652547
0.639337024484 --- 0.298215692525
0.337370494538 --- 0.724382374798
0.185901695018 --- 1.12169151093
0.449788161763 --- 0.532652372463
